0 Model Error:2917.79358061739[0,162143] 297 Explicit 185 
2 		Model Error:282.720836296285[27264,27455] 107 Trend 2 
3 			Model Error:2.5465851649642E-11[27264,27359] 107 Trend 0 
3 			Model Error:4.36557456851006E-11[27360,27455] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[27456,27551] 107 Trend 0 
1 	Model Error:789.329132727325[27552,29567] 126 Explicit 16 
2 		Model Error:3.63797880709171E-11[27552,27647] 106 Explicit 0 
2 		Model Error:396.991850687424[27648,27839] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[27648,27743] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[27744,27839] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[27840,27935] 107 Trend 0 
2 		Model Error:4.00177668780088E-11[27936,28031] 107 Trend 0 
2 		Model Error:349.647870024535[28032,28223] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[28032,28127] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[28128,28223] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[28224,28319] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[28320,28415] 107 Trend 0 
2 		Model Error:437.248103555277[28416,28607] 107 Trend 2 
3 			Model Error:2.5465851649642E-11[28416,28511] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[28512,28607] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[28608,28703] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[28704,28799] 106 Explicit 0 
2 		Model Error:1.81898940354586E-11[28800,28895] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[28896,28991] 106 Explicit 0 
2 		Model Error:237.645929988961[28992,29183] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[28992,29087] 106 Explicit 0 
