0 Model Error:3896.43997284128%[0,2500000] 283 Trend 406
3 			Model Error:2.5465851649642E-11%[576,671] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[672,767] 101 Trend 0
3 			Model Error:3.63797880709171E-11%[768,863] 100 Explicit 0
3 			Model Error:4.36557456851006E-11%[864,959] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[960,1055] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1056,1151] 101 Trend 0
3 			Model Error:3.63797880709171E-11%[1152,1247] 100 Explicit 0
3 			Model Error:1.45519152283669E-11%[1248,1343] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[1344,1439] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[1440,1535] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[1536,1631] 101 Trend 0
3 			Model Error:4.36557456851006E-11%[1632,1727] 101 Trend 0
3 			Model Error:4.36557456851006E-11%[1728,1823] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[1824,1919] 101 Trend 0
3 			Model Error:1.81898940354586E-11%[1920,2015] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2016,2111] 101 Trend 0
3 			Model Error:2.5465851649642E-11%[2112,2207] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[2208,2303] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2304,2399] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2400,2495] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[2496,2591] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2592,2687] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2688,2783] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2784,2879] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2880,2975] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2976,3071] 101 Trend 0
1 	Model Error:2993.19578677868%[49152,55295] 101 Implicit 1
2 		Model Error:2993.19578677868%[0,6143] 101 Implicit 64
3 			Model Error:2.18278728425503E-11%[0,95] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[96,191] 101 Trend 0
3 			Model Error:5.0931703299284E-11%[192,287] 100 Explicit 0
